user,item,rank
0,156355,1
0,162369,2
0,159944,3
0,159938,4
0,162276,5
1,208508,1
1,234192,2
1,236170,3
1,235639,4
1,234633,5
2,118495,1
2,31927,2
2,119231,3
2,32634,4
2,30895,5
3,237429,1
3,236688,2
3,235443,3
3,234022,4
3,233652,5
4,194322,1
4,192185,2
4,195147,3
4,195032,4
4,195844,5
5,285343,1
5,206570,2
5,207760,3
5,282750,4
5,285587,5
6,205926,1
6,234633,2
6,208508,3
6,236170,4
6,205845,5
7,283736,1
7,282750,2
7,284339,3
7,284452,4
7,284845,5
8,280868,1
8,286108,2
8,285435,3
8,283026,4
8,352461,5
9,337166,1
9,336250,2
9,337854,3
9,336254,4
9,337435,5
10,205845,1
10,205926,2
10,205876,3
10,206708,4
10,208480,5
11,202455,1
11,203313,2
11,205926,3
11,206402,4
11,205845,5
12,283026,1
12,284672,2
12,283239,3
12,337166,4
12,255616,5
13,256163,1
13,254416,2
13,254700,3
13,255616,4
13,256113,5
14,183690,1
14,96960,2
14,48610,3
14,182485,4
14,95722,5
15,206570,1
15,119226,2
15,205876,3
15,255616,4
15,209348,5
16,157865,1
16,156355,2
16,157541,3
16,159495,4
16,162369,5
17,285331,1
17,129482,2
17,123826,3
17,123368,4
17,336476,5
18,337728,1
18,298574,2
18,272172,3
18,300082,4
18,297959,5
19,329749,1
19,288528,2
19,118444,3
19,329535,4
19,284452,5
20,162369,1
20,157865,2
20,159495,3
20,161183,4
20,159034,5
21,124755,1
21,141416,2
21,124228,3
21,124129,4
21,123826,5
22,235961,1
22,234192,2
22,235443,3
22,237452,4
22,234633,5
23,353114,1
23,280868,2
23,336660,3
23,285331,4
23,236527,5
24,202455,1
24,202299,2
24,202370,3
24,162369,4
24,207141,5
25,348081,1
25,348090,2
25,129482,3
25,129782,4
25,351709,5
26,236207,1
26,234633,2
26,234128,3
26,237452,4
26,236527,5
27,108966,1
27,108903,2
27,108857,3
27,108849,4
27,59034,5
28,209348,1
28,100948,2
28,284020,3
28,203724,4
28,108856,5
29,236170,1
29,236266,2
29,235639,3
29,208508,4
29,237278,5
30,283900,1
30,283642,2
30,283689,3
30,284478,4
30,283026,5
31,159495,1
31,157865,2
31,156355,3
31,202455,4
31,71386,5
32,337263,1
32,352750,2
32,337166,3
32,336254,4
32,337051,5
33,273394,1
33,297959,2
33,271848,3
33,156355,4
33,266024,5
34,202320,1
34,205926,2
34,202299,3
34,202370,4
34,202427,5
35,348111,1
35,288285,2
35,288457,3
35,341582,4
35,342163,5
36,194290,1
36,195428,2
36,195773,3
36,195026,4
36,195032,5
37,336250,1
37,337854,2
37,336574,3
37,337051,4
37,337166,5
38,337854,1
38,336254,2
38,337465,3
38,336660,4
38,283736,5
39,285331,1
39,352204,2
39,332250,3
39,331738,4
39,331737,5
40,234633,1
40,283736,2
40,234192,3
40,282750,4
40,255616,5
41,283392,1
41,283026,2
41,283039,3
41,285446,4
41,283041,5
42,337263,1
42,352204,2
42,353114,3
42,337051,4
42,337465,5
43,207141,1
43,206708,2
43,208508,3
43,202299,4
43,205845,5
44,162369,1
44,71386,2
44,282785,3
44,206210,4
44,157865,5
45,156355,1
45,159495,2
45,157865,3
45,158189,4
45,157748,5
46,203672,1
46,202455,2
46,203714,3
46,206907,4
46,209348,5
47,162369,1
47,159944,2
47,159495,3
47,157496,4
47,157865,5
48,123368,1
48,124755,2
48,124546,3
48,123960,4
48,141416,5
49,353667,1
49,205876,2
49,208480,3
49,282750,4
49,332308,5
50,284452,1
50,282785,2
50,282750,3
50,156355,4
50,205876,5
51,285435,1
51,283026,2
51,284672,3
51,280868,4
51,255616,5
52,162369,1
52,159034,2
52,157541,3
52,159495,4
52,162338,5
53,235639,1
53,236207,2
53,236681,3
53,235443,4
53,235325,5
54,30169,1
54,234022,2
54,118778,3
54,236451,4
54,255340,5
55,16411,1
55,14644,2
55,15948,3
55,14324,4
55,16981,5
56,237429,1
56,235961,2
56,234022,3
56,237452,4
56,236681,5
57,285360,1
57,208480,2
57,285908,3
57,208918,4
57,205876,5
58,234022,1
58,236189,2
58,236688,3
58,233446,4
58,234268,5
59,284452,1
59,236988,2
59,237429,3
59,235443,4
59,234128,5
60,107001,1
60,104442,2
60,107171,3
60,203313,4
60,205926,5
61,285908,1
61,209348,2
61,205926,3
61,207141,4
61,285360,5
62,237293,1
62,208032,2
62,235468,3
62,251522,4
62,234633,5
63,206570,1
63,337051,2
63,336250,3
63,337854,4
63,337166,5
64,292899,1
64,292621,2
64,292942,3
64,292924,4
64,292734,5
65,205926,1
65,207921,2
65,202299,3
65,202455,4
65,205845,5
66,159495,1
66,162338,2
66,156355,3
66,157541,4
66,161100,5
67,202455,1
67,205845,2
67,202299,3
67,203454,4
67,208480,5
68,337051,1
68,333959,2
68,336664,3
68,338164,4
68,337465,5
69,273327,1
69,272733,2
69,48610,3
69,270399,4
69,255207,5
70,145624,1
70,145420,2
70,144844,3
70,135798,4
70,145209,5
71,118444,1
71,119193,2
71,118918,3
71,119165,4
71,288457,5
72,273473,1
72,271236,2
72,271904,3
72,272002,4
72,272733,5
73,123826,1
73,123368,2
73,157541,3
73,159495,4
73,124177,5
74,206402,1
74,205926,2
74,208480,3
74,205876,4
74,202455,5
75,100925,1
75,236444,2
75,235616,3
75,234195,4
75,234813,5
76,234192,1
76,286077,2
76,283192,3
76,337058,4
76,336660,5
77,338164,1
77,336664,2
77,337051,3
77,336660,4
77,337465,5
78,205926,1
78,159495,2
78,202299,3
78,159944,4
78,157541,5
79,208480,1
79,205876,2
79,205926,3
79,205845,4
79,202455,5
80,194599,1
80,195026,2
80,195773,3
80,194881,4
80,195428,5
81,156355,1
81,159495,2
81,157865,3
81,157802,4
81,159943,5
82,31655,1
82,119231,2
82,30611,3
82,97567,4
82,31677,5
83,156355,1
83,156713,2
83,162369,3
83,159567,4
83,159299,5
84,198807,1
84,198538,2
84,199858,3
84,198822,4
84,199435,5
85,38625,1
85,107069,2
85,202577,3
85,158794,4
85,160226,5
86,292621,1
86,293389,2
86,293429,3
86,292980,4
86,293006,5
87,329535,1
87,206570,2
87,119193,3
87,329749,4
87,208480,5
88,285384,1
88,280868,2
88,336254,3
88,352757,4
88,336250,5
89,234633,1
89,205926,2
89,208508,3
89,202299,4
89,205845,5
90,271672,1
90,123953,2
90,299136,3
90,123957,4
90,272733,5
91,119231,1
91,118435,2
91,118478,3
91,118967,4
91,119108,5
92,205926,1
92,156843,2
92,209359,3
92,202577,4
92,162369,5
93,118492,1
93,255207,2
93,255340,3
93,206146,4
93,236681,5
94,206708,1
94,205926,2
94,208032,3
94,203454,4
94,206120,5
95,285908,1
95,119226,2
95,118778,3
95,119273,4
95,118918,5
96,337187,1
96,336574,2
96,336452,3
96,337166,4
96,337435,5
97,205926,1
97,236170,2
97,205845,3
97,202455,4
97,208508,5
98,351875,1
98,123957,2
98,299136,3
98,299146,4
98,299107,5
99,286077,1
99,255616,2
99,123957,3
99,284452,4
99,123613,5
100,331041,1
100,331538,2
100,332390,3
100,331738,4
100,331226,5
101,234192,1
101,234633,2
101,236882,3
101,237452,4
101,235443,5
102,38625,1
102,159495,2
102,208508,3
102,205926,4
102,162369,5
103,292899,1
103,292620,2
103,292621,3
103,292912,4
103,292690,5
104,32634,1
104,30852,2
104,32502,3
104,30405,4
104,31829,5
105,118478,1
105,118495,2
105,119586,3
105,119226,4
105,118494,5
106,234633,1
106,208508,2
106,285908,3
106,285360,4
106,208918,5
107,123826,1
107,123289,2
107,124755,3
107,255616,4
107,123957,5
108,108966,1
108,108856,2
108,108849,3
108,108857,4
108,108851,5
109,255616,1
109,284845,2
109,283642,3
109,284547,4
109,284452,5
110,273273,1
110,271236,2
110,270326,3
110,272556,4
110,273395,5
111,205845,1
111,282785,2
111,205876,3
111,202299,4
111,206162,5
112,156355,1
112,159495,2
112,159944,3
112,159938,4
112,162276,5
113,205926,1
113,159944,2
113,203313,3
113,156355,4
113,206402,5
114,118444,1
114,118967,2
114,118773,3
114,119231,4
114,119273,5
115,234633,1
115,337465,2
115,100925,3
115,285347,4
115,286077,5
116,234633,1
116,235639,2
116,236170,3
116,282750,4
116,234192,5
117,234633,1
117,235639,2
117,156355,3
117,236170,4
117,282750,5
118,159495,1
118,162369,2
118,159944,3
118,157865,4
118,157541,5
119,207141,1
119,206402,2
119,202299,3
119,202455,4
119,282785,5
120,293460,1
120,331738,2
120,352750,3
120,330989,4
120,292981,5
121,208508,1
